개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총인원
3130000,3.13E+17,2019-10-22,,3,폐업,2,폐업,2024-03-11,,,,02-6448-6632,74.39,,"서울특별시 마포구 서교동 458-1 마린프라자, 101,102 일부호","서울특별시 마포구 잔다리로 112, 마린프라자 1층 101,102 일부호 (서교동)",4002,(주)기본,2024-03-11 11:16,U,03:00.0,식육판매업,192366.476,450527.9985,,,,,
3240000,3.24E+17,2018-06-01,,1,영업/정상,0,정상,,,,,,14.17,,서울특별시 강동구 성내동 77-21 드림피스 2층 203호,"서울특별시 강동구 올림픽로62길 9-15, 2층 203호 (성내동, 드림피스)",5378,(주)제이엠에스푸드,2024-03-11 15:24,I,03:00.0,식육판매업,210859.8236,448319.5526,,,,,
3200000,3.2E+17,2015-02-09,,1,영업/정상,0,정상,,,,,,17.38,,서울특별시 관악구 신림동 1595-2,"서울특별시 관악구 신원로5길 35, 지하1층 (신림동)",8774,농업회사법인주식회사아라미푸드,2024-03-11 14:29,U,03:00.0,식육판매업,193462.6571,442261.3408,,,,,
3020000,3.02E+17,2014-05-26,,1,영업/정상,0,정상,,,,,,39.67,,서울특별시 용산구 한강로3가 40-163,"서울특별시 용산구 한강대로15길 19-10, 1층 (한강로3가)",4379,주식회사 강남특수,2023-07-19 16:54,U,01:00.0,우유류판매업,196646.5212,447069.8363,,,,,
3080000,3.08E+17,2023-03-02,,1,영업/정상,0,정상,,,,,,3.3,,서울특별시 강북구 미아동 304-2 상아빌딩 4층 79호,"서울특별시 강북구 도봉로 191, 상아빌딩 4층 79호 (미아동)",1170,오늘스토어,2023-08-28 9:26,U,00:00.0,축산물유통전문판매업,202228.4317,458158.1057,,,,,
3000000,3E+17,19830830,,1,영업/정상,0,정상,,,,,2267-1790,13.53,,서울특별시 종로구 예지동       3-  2 광장시장 1층 144호 ,,,승리정육점,2007-10-05 15:28,I,59:59.0,식육판매업,,,축산물판매업,식육판매업,,0,
3180000,3.18E+17,2022-03-04,,1,영업/정상,0,정상,,,,,,43.72,,서울특별시 영등포구 여의도동 12-1 삼도오피스텔 1207호,"서울특별시 영등포구 은행로 58, 1207호 (여의도동, 삼도오피스텔)",7241,진심 컴퍼니,2023-03-02 10:16,I,04:00.0,축산물유통전문판매업,193289.3104,447527.1526,,,,,
3230000,3.23E+17,2018-01-19,,1,영업/정상,0,정상,,,,,,107,,서울특별시 송파구 거여동 21-15,"서울특별시 송파구 오금로59길 3-21, 1층 (거여동)",5744,주식회사 화남미트,2023-03-02 16:05,I,04:00.0,식육판매업,212557.4217,443575.265,,,,,
3070000,3.07E+17,2015-12-10,,1,영업/정상,0,정상,,,,,,15.75,,서울특별시 성북구 종암동 3-167,서울특별시 성북구 종암로28길 34 (종암동),2797,민주네 정육점,2023-03-02 17:21,U,04:00.0,식육판매업,202934.3348,455484.34,,,,,
3030000,3.03E+17,2015-06-05,,3,폐업,2,폐업,2023-02-28,,,,,21.48,,서울특별시 성동구 마장동 781-9 1층,"서울특별시 성동구 마장로44길 8-18, 1층 (마장동)",4757,한우드림,2023-03-02 9:27,U,04:00.0,식육판매업,203920.4694,451585.1803,,,,,
3030000,3.03E+17,2015-06-03,,3,폐업,2,폐업,2023-03-02,,,,,174.74,,서울특별시 성동구 마장동 466-4 3층,"서울특별시 성동구 마장로29길 49, 3층 (마장동)",4704,주식회사 원광미트라인,2023-03-02 16:27,U,04:00.0,식육판매업,203185.3507,452028.8504,,,,,
3120000,3.12E+17,2013-12-27,,1,영업/정상,0,정상,,,,,02-3786-8382,13.26,,서울특별시 서대문구 미근동 21-1 (주)케이티앤지 서대문 타워,"서울특별시 서대문구 충정로 60, 3층 (미근동)",3740,농협경제지주 주식회사(축산물도매분사),2023-03-02 11:06,U,04:00.0,식육판매업,196947.2497,451285.8258,,,,,
3130000,3.13E+17,2013-10-31,,3,폐업,2,폐업,2023-03-02,,,,02-712-9988,37.24,,서울특별시 마포구 용강동 502 래미안 마포 리버웰,"서울특별시 마포구 토정로31길 23, 래미안 마포 리버웰 121동 지1층 101호 (용강동)",4161,형제정육점,2023-03-02 15:39,U,04:00.0,식육판매업,194792.9465,448900.1095,,,,,
3220000,3.22E+17,2010-04-02,,3,폐업,2,폐업,2023-03-02,,,,02-542-8614,12.2,,서울특별시 강남구 신사동 510-11 강남상가 38호,"서울특별시 강남구 압구정로2길 46 (신사동,강남상가 38호)",,시장안식육점,2023-03-02 13:18,U,04:00.0,식육판매업,201757.4941,446282.4545,,,,,
3030000,3.03E+17,2000-06-27,,1,영업/정상,0,정상,,,,,02-2289-1529,32.87,,서울특별시 성동구 마장동 521-1 1층,"서울특별시 성동구 고산자로24길 6, 1층 (마장동)",4748,(주)평강축산,2023-03-02 17:42,U,04:00.0,식육판매업,203299.9567,451956.8823,,,,,
3080000,3.08E+17,2020-08-31,,1,영업/정상,0,정상,,,,,02-917-1277,96.99,,서울특별시 강북구 미아동 3-29 1층,"서울특별시 강북구 오패산로30길 75, 1층 (미아동)",1233,주식회사 엑스토리,2023-03-09 9:00,U,01:00.0,축산물유통전문판매업,203024.9901,457135.9737,,,,,
3210000,3.21E+17,2019-10-08,,4,취소/말소/만료/정지/중지,4,말소,2023-03-08,,,,02-538-0089,32,,서울특별시 서초구 서초동 1439-1 목전빌딩,"서울특별시 서초구 남부순환로339길 72, 목전빌딩 1층 (서초동)",6722,배수경 양재정육,2023-03-08 15:10,U,01:00.0,식육판매업,201832.9894,442665.6708,,,,,
3030000,3.03E+17,2016-05-02,,3,폐업,2,폐업,2023-03-13,,,,02-2295-0907,69.8,,서울특별시 성동구 마장동 784,"서울특별시 성동구 마장로42길 14, 1층 (마장동, 세림아파트)",4757,(주)한들미트,2023-03-13 17:18,U,05:00.0,식육판매업,203922.2899,451446.8385,,,,,
3060000,3.06E+17,2016-04-06,,1,영업/정상,0,정상,,,,,,42.73,,서울특별시 중랑구 면목동 57-2,서울특별시 중랑구 용마산로 376(면목동),2193,동아육가공 주식회사,2023-03-13 17:56,U,05:00.0,식육판매업,208307.6503,453660.8214,,,,,
3030000,3.03E+17,2010-12-30,,1,영업/정상,0,정상,,,,,,54,,서울특별시 성동구 마장동 514-8 201호,"서울특별시 성동구 마장로31길 18, 2층 201호 (마장동)",4749,한길유통(주),2023-03-13 17:20,U,05:00.0,식육판매업,203276.102,451726.3954,,,,,
3030000,3.03E+17,2010-12-23,,1,영업/정상,0,정상,,,,,2296-0211,31.86,,서울특별시 성동구 마장동 520-6,"서울특별시 성동구 고산자로20길 5, 1층 (마장동)",4749,육팔구통상 주식회사,2023-03-13 17:19,U,05:00.0,식육판매업,203255.8384,451757.4494,,,,,
3220000,3.22E+17,2003-04-09,,1,영업/정상,0,정상,,,,,546-2034,45.18,,서울특별시 강남구 압구정동 456 지하,"서울특별시 강남구 압구정로 201 (압구정동,지하)",,(주)현대그린푸드엔마켓축산압구정점,2023-03-13 13:44,U,05:00.0,식육판매업,202485.2265,447521.5203,,,,,
3120000,3.12E+17,2009-05-08,,1,영업/정상,0,정상,,,,,02-3145-3040,208,,서울특별시 서대문구 창천동 30-33 현대백화점신촌점,"서울특별시 서대문구 신촌로 83, 현대백화점신촌점 B1층 (창천동)",3789,현대백화점 신촌점,2023-07-17 14:24,U,09:00.0,식육판매업,194265.0676,450433.691,,,,,
3050000,3.05E+17,1998-09-11,,1,영업/정상,0,정상,,,,,2293-9393,50.37,,서울특별시 동대문구 제기동 892-94 1층,"서울특별시 동대문구 정릉천동로 120, 1층 (제기동)",2478,(주)동신축산,2023-04-17 13:25,U,09:00.0,식육판매업,203132.8925,453412.4128,,,,,
3000000,3E+17,19720414,,1,영업/정상,0,정상,,,,,0763-9583,0,,서울특별시 종로구 종로6가     215- 13 ,,,보령,2004-09-02 16:17,I,59:59.0,식육판매업,,,축산물판매업,식육판매업,,0,
3210000,3.21E+17,2023-01-05,,1,영업/정상,0,정상,,,,,02-1833-9133,1587.4,,서울특별시 서초구 서초동 1703-8,"서울특별시 서초구 법원로4길 11-6, 3층 (서초동)",6596,와이즐리컴퍼니,2023-03-03 16:54,I,05:00.0,축산물유통전문판매업,200915.4443,443612.742,,,,,
3210000,3.21E+17,2023-01-05,,1,영업/정상,0,정상,,,,,02-1833-9133,1587.4,,서울특별시 서초구 서초동 1703-8,"서울특별시 서초구 법원로4길 11-6, 3층 (서초동)",6596,와이즐리컴퍼니,2023-03-03 16:59,I,05:00.0,식용란수집판매업,200915.4443,443612.742,,,,,
3030000,3.03E+17,2022-11-07,,1,영업/정상,0,정상,,,,,,133.7,,서울특별시 성동구 마장동 509-1,"서울특별시 성동구 고산자로24길 17, 1층,지하1층 (마장동)",4748,주식회사 유창농축,2023-03-03 13:03,U,05:00.0,식육판매업,203424.3948,451955.2659,,,,,
3210000,3.21E+17,2019-04-15,,1,영업/정상,0,정상,,,,,02-1644-1567,438.62,,서울특별시 서초구 서초동 1538-2 우제빌딩,"서울특별시 서초구 서초대로40길 83, 우제빌딩 4층 (서초동)",6657,인테이크 주식회사,2023-03-03 10:59,U,05:00.0,축산물유통전문판매업,200719.2876,442860.7699,,,,,
3230000,3.23E+17,2018-04-27,,1,영업/정상,0,정상,,,,,,20.88,,서울특별시 송파구 잠실동 209-2 내네빌딩 지상1층,"서울특별시 송파구 석촌호수로 84, 내네빌딩 1층 (잠실동)",5564,꽃돌이 푸줏간,2023-03-03 14:16,U,05:00.0,식육판매업,207591.9358,445173.3829,,,,,
3150000,3.15E+17,1998-08-11,,3,폐업,2,폐업,2023-04-28,,,,666-9909,29.48,,서울특별시 강서구 방화동 851 방화11단지도시개발A상가1층103호,"서울특별시 강서구 개화동로21길 4 (방화동,방화11단지도시개발A상가1층103호)",,11단지정육점,2023-05-26 10:31,U,08:00.0,식육판매업,182742.538,452003.8236,,,,,
3230000,3.23E+17,2020-12-16,,1,영업/정상,0,정상,,,,,,20,,서울특별시 송파구 방이동 226-5,"서울특별시 송파구 오금로31길 3, 1층 101호 (방이동)",5645,청년한우 송파방이점,2023-07-11 9:28,U,03:00.0,식육판매업,210632.2543,444930.6517,,,,,
3220000,3.22E+17,2020-06-30,,1,영업/정상,0,정상,,,,,,33,,서울특별시 강남구 삼성동 144-24 송암빌딩 III,"서울특별시 강남구 테헤란로 441, 송암빌딩 III 5층 A24호 (삼성동)",6158,주식회사 케이미트에프앤비,2023-07-10 14:24,I,03:00.0,식육판매업,204827.0187,444966.4432,,,,,
3240000,3.24E+17,2023-05-26,,1,영업/정상,0,정상,,,,,,48.82,,서울특별시 강동구 고덕동 694 고덕그라시움(제4상가) 1층 107호,"서울특별시 강동구 고덕로 385, 고덕그라시움(제4상가) 1층 107호 (고덕동)",5223,고밋 고기상점,2023-05-26 17:49,I,08:00.0,식육판매업,214695.2929,450632.624,,,,,
3240000,3.24E+17,2016-02-24,,1,영업/정상,0,정상,,,,,234983600,25,,"서울특별시 강동구 명일동 48-5 동신빌딩 1층 102, 103호","서울특별시 강동구 동남로73길 9, 동신빌딩 1층 102,103호 (명일동)",5269,한살림동서울 명일매장,2023-05-26 17:56,U,08:00.0,식육판매업,213680.9932,450050.8988,,,,,
3030000,3.03E+17,2013-09-03,,1,영업/정상,0,정상,,,,,2299-8145,136.2,,서울특별시 성동구 마장동 510-9,"서울특별시 성동구 고산자로24길 14-20, 1층,지하1층 (마장동)",4748,(주)민강축산유통,2023-12-15 9:23,U,07:00.0,식육판매업,203351.548,451927.7638,,,,,
3180000,3.18E+17,2024-03-08,,1,영업/정상,0,정상,,,,,02-782-7804,67.61,,서울특별시 영등포구 여의도동 53-1 행진빌딩,"서울특별시 영등포구 국제금융로 106, 행진빌딩 1층 (여의도동)",7343,영등포농협 한우명품관 여의도샛강역점,2024-03-08 16:28,I,00:00.0,식육판매업,194028.6358,446303.3851,,,,,
3210000,3.21E+17,2022-11-10,,3,폐업,2,폐업,2023-11-17,,,,7086338870,165.28,,서울특별시 서초구 내곡동 168-4,"서울특별시 서초구 능안말2길 18, 지하층 (내곡동)",6801,주식회사 고반생활,2023-11-17 15:55,U,09:00.0,축산물유통전문판매업,205745.4228,439176.6787,,,,,
3030000,3.03E+17,1985-11-18,,1,영업/정상,0,정상,,,,,,0,,서울특별시 성동구 마장동 761-19,,,마블링,2024-03-08 13:24,U,00:00.0,식육판매업,203598.7155,451985.965,,,,,
3130000,3.13E+17,2023-03-06,,1,영업/정상,0,정상,,,,,,19.8,,서울특별시 마포구 망원동 414-58 2층,"서울특별시 마포구 포은로8길 15, 2층 (망원동)",4010,플레이팅 키친(망원점),2023-03-06 14:59,I,08:00.0,식육판매업,191589.0189,450482.0485,,,,,
3240000,3.24E+17,2023-03-06,,1,영업/정상,0,정상,,,,,,69.28,,서울특별시 강동구 천호동 425-5 대우 한강 베네시티 3층 335호,"서울특별시 강동구 올림픽로 664, 3층 335호 (천호동, 대우 한강 베네시티)",5328,포크앤솔루션 주식회사,2023-03-06 14:56,I,08:00.0,축산물유통전문판매업,210970.7571,448713.3167,,,,,
3240000,3.24E+17,2023-02-22,,3,폐업,2,폐업,2023-03-06,,,,02-472-3779,9,,서울특별시 강동구 성내동 451 농협서울지역본부 제2주차장,"서울특별시 강동구 올림픽로 528, 농협서울지역본부 제2주차장 1층 (성내동)",5398,서울경기양돈축산업협동조합,2023-03-06 9:39,U,08:00.0,식육판매업,210566.8756,447402.6297,,,,,
3010000,3.01E+17,2021-03-10,,1,영업/정상,0,정상,,,,,02-2286-8875,0,,서울특별시 중구 신당동 431-4,"서울특별시 중구 동호로15길 31, B동 3층 (신당동)",4598,주식회사 데이터온,2023-03-06 9:31,U,08:00.0,식육판매업,200708.0234,450351.4735,,,,,
3090000,3.09E+17,2013-11-15,,3,폐업,2,폐업,2024-03-22,,,,02-956-8884,26.7,,서울특별시 도봉구 방학동 734 청구아파트,"서울특별시 도봉구 해등로 268, 청구아파트 (방학동)",1363,럭키마트정육,2024-03-22 13:09,U,04:00.0,식육판매업,202237.4104,461736.7154,,,,,
3220000,3.22E+17,2023-03-07,,1,영업/정상,0,정상,,,,,,33,,서울특별시 강남구 역삼동 707-34 한신인터밸리24,"서울특별시 강남구 테헤란로 322, 한신인터밸리24 233호 (역삼동)",6211,제이디웨이커스,2023-03-07 9:28,I,09:00.0,축산물유통전문판매업,204044.7899,444529.8404,,,,,
3170000,3.17E+17,2023-03-07,,1,영업/정상,0,정상,,,,,02-6933-6899,114.41,,서울특별시 금천구 독산동 291-1 현대지식산업센터 A동 2602-호,"서울특별시 금천구 두산로 70, 현대지식산업센터 A동 2602-2호 (독산동)",8584,주식회사 키포스,2023-03-07 17:53,I,09:00.0,식육판매업,190694.8803,440764.4263,,,,,
3170000,3.17E+17,2023-03-07,,1,영업/정상,0,정상,,,,,,7.83,,서울특별시 금천구 독산동 293-5 협진식품빌딩 지하층 97호,"서울특별시 금천구 범안로 1209, 협진식품빌딩 지하층 97호 (독산동)",8585,엠케이미트(지하97호),2023-03-07 10:33,I,09:00.0,식육판매업,190771.5956,440515.669,,,,,
3230000,3.23E+17,2023-03-07,,1,영업/정상,0,정상,,,,,,13.95,,서울특별시 송파구 송파동 89-2,"서울특별시 송파구 송파대로 410, 지하2층 B202호 (송파동)",5667,셰퍼드앤코(Shepherd&Co.),2023-03-07 15:59,I,09:00.0,축산물유통전문판매업,209545.9458,444649.1055,,,,,
3010000,3.01E+17,2023-05-30,,3,폐업,2,폐업,2023-06-07,,,,063-352-8088,0,,서울특별시 중구 태평로1가 31 서울특별시청,"서울특별시 중구 세종대로 110, 서울특별시청앞 광장 (태평로1가)",4524,장수군유통사업단,2023-06-07 9:32,U,00:00.0,식육판매업,198004.7379,451589.339,,,,,
3240000,3.24E+17,2023-03-07,,3,폐업,2,폐업,2023-03-21,,,,02-472-3779,9,,서울특별시 강동구 성내동 451 농협서울지역본부 제2주차장,"서울특별시 강동구 올림픽로 528, 농협서울지역본부 제2주차장 1층 (성내동)",5398,서울경기양돈축산업협동조합,2023-03-21 15:21,U,03:00.0,식육판매업,210566.8756,447402.6297,,,,,
3180000,3.18E+17,2023-05-26,,1,영업/정상,0,정상,,,,,070-5057-0101,0,,서울특별시 영등포구 양평동4가 116 휴라이프 9층,"서울특별시 영등포구 양평로 118, 휴라이프 9층 (양평동4가)",7206,주식회사바른팩토리,2023-05-26 11:05,I,08:00.0,축산물유통전문판매업,190617.6829,448401.7413,,,,,
